thrust,time
3.7354297618885,0
3.49098396110725,0.01
3.49098396110725,0.02
3.36876106071662,0.03
3.36876106071662,0.04
2.268754957201,0.05
3.36876106071662,0.06
3.12431525993537,0.07
3.12431525993537,0.08
2.268754957201,0.09
3.36876106071662,0.1
3.36876106071662,0.11
3.246538160326,0.12
3.246538160326,0.13
2.02430915641975,0.14
3.49098396110725,0.15
3.85765266227912,0.16
3.7354297618885,0.17
3.36876106071662,0.18
2.268754957201,0.19
2.268754957201,0.2
2.268754957201,0.21
2.268754957201,0.22
2.268754957201,0.23
2.268754957201,0.24
2.268754957201,0.25
2.268754957201,0.26
2.268754957201,0.27
2.268754957201,0.28
2.268754957201,0.29
2.268754957201,0.3
2.268754957201,0.31
2.268754957201,0.32
2.268754957201,0.33
2.268754957201,0.34
2.268754957201,0.35
2.63542365837287,0.36
2.87986945915412,0.37
2.39097785759162,0.38
3.7354297618885,0.39
2.63542365837287,0.4
2.63542365837287,0.41
2.39097785759162,0.42
4.10209846306037,0.43
2.87986945915412,0.44
2.87986945915412,0.45
2.63542365837287,0.46
3.7354297618885,0.47
3.36876106071662,0.48
3.61320686149787,0.49
3.00209235954475,0.5
2.39097785759162,0.51
3.12431525993537,0.52
3.36876106071662,0.53
3.36876106071662,0.54
2.268754957201,0.55
2.87986945915412,0.56
3.246538160326,0.57
3.246538160326,0.58
3.00209235954475,0.59
2.39097785759162,0.6
2.39097785759162,0.61
2.39097785759162,0.62
2.39097785759162,0.63
2.39097785759162,0.64
2.39097785759162,0.65
2.39097785759162,0.66
3.36876106071662,0.67
2.7576465587635,0.68
2.87986945915412,0.69
3.61320686149787,0.7
2.39097785759162,0.71
2.63542365837287,0.72
3.49098396110725,0.73
3.246538160326,0.74
3.36876106071662,0.75
2.7576465587635,0.76
3.36876106071662,0.77
3.246538160326,0.78
3.85765266227912,0.79
3.00209235954475,0.8
3.12431525993537,0.81
3.36876106071662,0.82
3.00209235954475,0.83
3.00209235954475,0.84
3.00209235954475,0.85
3.36876106071662,0.86
3.246538160326,0.87
3.61320686149787,0.88
3.7354297618885,0.89
3.7354297618885,0.9
2.63542365837287,0.91
2.63542365837287,0.92
2.63542365837287,0.93
2.63542365837287,0.94
2.63542365837287,0.95
2.63542365837287,0.96
2.63542365837287,0.97
2.63542365837287,0.98
2.63542365837287,0.99
2.63542365837287,1
2.63542365837287,1.01
3.49098396110725,1.02
3.49098396110725,1.03
3.36876106071662,1.04
3.12431525993537,1.05
3.00209235954475,1.06
4.10209846306037,1.07
3.00209235954475,1.08
3.7354297618885,1.09
3.7354297618885,1.1
3.61320686149787,1.11
3.00209235954475,1.12
3.97987556266975,1.13
3.49098396110725,1.14
3.36876106071662,1.15
2.63542365837287,1.16
2.63542365837287,1.17
3.00209235954475,1.18
3.36876106071662,1.19
3.00209235954475,1.2
3.246538160326,1.21
3.36876106071662,1.22
3.36876106071662,1.23
2.268754957201,1.24
3.246538160326,1.25
3.246538160326,1.26
2.268754957201,1.27
2.268754957201,1.28
3.00209235954475,1.29
3.00209235954475,1.3
3.00209235954475,1.31
2.63542365837287,1.32
3.36876106071662,1.33
3.49098396110725,1.34
3.49098396110725,1.35
2.268754957201,1.36
4.10209846306037,1.37
3.7354297618885,1.38
2.87986945915412,1.39
3.36876106071662,1.4
4.10209846306037,1.41
2.63542365837287,1.42
3.12431525993537,1.43
3.85765266227912,1.44
3.00209235954475,1.45
3.00209235954475,1.46
3.7354297618885,1.47
3.61320686149787,1.48
4.10209846306037,1.49
4.10209846306037,1.5
3.49098396110725,1.51
2.51320075798225,1.52
2.63542365837287,1.53
2.63542365837287,1.54
2.63542365837287,1.55
3.246538160326,1.56
3.49098396110725,1.57
2.63542365837287,1.58
2.268754957201,1.59
3.49098396110725,1.6
2.87986945915412,1.61
2.63542365837287,1.62
2.02430915641975,1.63
2.87986945915412,1.64
3.12431525993537,1.65
2.63542365837287,1.66
2.268754957201,1.67
3.49098396110725,1.68
3.7354297618885,1.69
3.7354297618885,1.7
2.63542365837287,1.71
3.246538160326,1.72
3.7354297618885,1.73
3.00209235954475,1.74
2.63542365837287,1.75
2.63542365837287,1.76
3.00209235954475,1.77
3.49098396110725,1.78
3.49098396110725,1.79
2.63542365837287,1.8
2.63542365837287,1.81
3.7354297618885,1.82
2.87986945915412,1.83
3.7354297618885,1.84
2.268754957201,1.85
3.7354297618885,1.86
3.246538160326,1.87
2.63542365837287,1.88
2.87986945915412,1.89
3.246538160326,1.9
2.63542365837287,1.91
2.63542365837287,1.92
2.63542365837287,1.93
2.39097785759162,1.94
3.7354297618885,1.95
3.00209235954475,1.96
3.00209235954475,1.97
2.63542365837287,1.98
3.36876106071662,1.99
3.36876106071662,2
3.00209235954475,2.01
3.12431525993537,2.02
2.63542365837287,2.03
3.246538160326,2.04
2.268754957201,2.05
2.87986945915412,2.06
3.00209235954475,2.07
3.246538160326,2.08
2.7576465587635,2.09
3.12431525993537,2.1
3.00209235954475,2.11
3.246538160326,2.12
2.63542365837287,2.13
4.10209846306037,2.14
3.36876106071662,2.15
3.00209235954475,2.16
2.63542365837287,2.17
3.7354297618885,2.18
2.87986945915412,2.19
3.00209235954475,2.2
3.85765266227912,2.21
3.12431525993537,2.22
3.00209235954475,2.23
3.12431525993537,2.24
3.246538160326,2.25
3.49098396110725,2.26
3.49098396110725,2.27
2.63542365837287,2.28
3.36876106071662,2.29
3.00209235954475,2.3
3.49098396110725,2.31
3.00209235954475,2.32
2.63542365837287,2.33
3.36876106071662,2.34
3.00209235954475,2.35
3.49098396110725,2.36
3.36876106071662,2.37
2.63542365837287,2.38
3.36876106071662,2.39
3.49098396110725,2.4
3.00209235954475,2.41
2.63542365837287,2.42
3.36876106071662,2.43
3.00209235954475,2.44
3.36876106071662,2.45
3.49098396110725,2.46
3.12431525993537,2.47
3.36876106071662,2.48
3.49098396110725,2.49
3.61320686149787,2.5
3.49098396110725,2.51
3.00209235954475,2.52
3.00209235954475,2.53
3.49098396110725,2.54
2.63542365837287,2.55
2.268754957201,2.56
2.268754957201,2.57
3.00209235954475,2.58
3.00209235954475,2.59
2.87986945915412,2.6
3.00209235954475,2.61
3.00209235954475,2.62
3.49098396110725,2.63
2.63542365837287,2.64
3.49098396110725,2.65
2.63542365837287,2.66
3.246538160326,2.67
2.63542365837287,2.68
3.36876106071662,2.69
2.39097785759162,2.7
3.7354297618885,2.71
3.36876106071662,2.72
2.87986945915412,2.73
3.246538160326,2.74
2.87986945915412,2.75
3.246538160326,2.76
3.00209235954475,2.77
3.36876106071662,2.78
3.246538160326,2.79
3.36876106071662,2.8
2.63542365837287,2.81
3.246538160326,2.82
3.7354297618885,2.83
3.246538160326,2.84
3.12431525993537,2.85
2.02430915641975,2.86
4.10209846306037,2.87
4.10209846306037,2.88
3.12431525993537,2.89
2.63542365837287,2.9
3.49098396110725,2.91
3.36876106071662,2.92
2.63542365837287,2.93
3.36876106071662,2.94
3.36876106071662,2.95
3.246538160326,2.96
2.63542365837287,2.97
3.85765266227912,2.98
3.12431525993537,2.99
2.39097785759162,3
2.87986945915412,3.01
3.49098396110725,3.02
2.63542365837287,3.03
3.7354297618885,3.04
2.87986945915412,3.05
3.246538160326,3.06
2.63542365837287,3.07
2.63542365837287,3.08
3.36876106071662,3.09
2.87986945915412,3.1
2.87986945915412,3.11
3.61320686149787,3.12
3.7354297618885,3.13
2.63542365837287,3.14
3.246538160326,3.15
2.39097785759162,3.16
2.63542365837287,3.17
3.36876106071662,3.18
2.268754957201,3.19
2.63542365837287,3.2
3.49098396110725,3.21
2.87986945915412,3.22
3.00209235954475,3.23
3.49098396110725,3.24
2.7576465587635,3.25
3.246538160326,3.26
3.246538160326,3.27
3.36876106071662,3.28
2.63542365837287,3.29
2.268754957201,3.3
2.02430915641975,3.31
3.12431525993537,3.32
3.00209235954475,3.33
2.63542365837287,3.34
2.268754957201,3.35
2.7576465587635,3.36
3.246538160326,3.37
3.36876106071662,3.38
2.87986945915412,3.39
3.49098396110725,3.4
2.39097785759162,3.41
2.63542365837287,3.42
3.246538160326,3.43
3.246538160326,3.44
2.87986945915412,3.45
3.49098396110725,3.46
3.12431525993537,3.47
3.00209235954475,3.48
2.268754957201,3.49
2.87986945915412,3.5
3.61320686149787,3.51
3.36876106071662,3.52
2.63542365837287,3.53
3.49098396110725,3.54
2.268754957201,3.55
2.268754957201,3.56
3.7354297618885,3.57
3.00209235954475,3.58
3.12431525993537,3.59
3.36876106071662,3.6
3.36876106071662,3.61
2.268754957201,3.62
3.7354297618885,3.63
3.246538160326,3.64
3.12431525993537,3.65
2.87986945915412,3.66
2.39097785759162,3.67
2.268754957201,3.68
2.87986945915412,3.69
